genotype	P368.Earheight	P368.Earleafwidth	P368.Earleaflength	P368.Tasselmainaxislength	P368.Tasselbranchnumber	P368.Leafnumberaboveear	P368.Earlength	P368.Eardiameter	P368.Cobdiameter	P368.Kernernumberperrow	P368.100grainweight	P368.cobweight	P368.Kernelwidth	P368.Silkingtime	P368.Pollenshed	P368.Headingdate
B114	55.07115978	8.310541187	68.85886568	30.09415386	7.535512053	5.043712108	11.53533463	3.468677426	2.069437412	18.6579098	26.76161346	12.18790225	9.083261863	70.2058	65.9039	63.6892
B151	71.21287874	8.680263294	62.45091885	26.37346285	12.77157094	4.828281948	13.38841357	3.769232771	2.636596034	22.38601521	21.26195231	13.44578565	7.892044697	73.0967	71.6915	66.9247
B73	66.59201607	8.050204319	67.3529868	29.62136698	5.559788118	5.536807806	11.21580108	3.613691826	2.080711692	21.82234044	19.18005976	17.38755639	6.89922522	73.8462	69.2429	67.4825
B77	74.70455386	8.065847238	73.50339051	36.20036372	11.42843921	5.624186897	12.62543515	3.276284026	1.827906536	24.19311708	17.81247469	7.996482798	6.943756182	73.5199	71.3157	68.7586
BEM	54.32237975	8.157401853	66.27248458	30.12845969	9.148108861	5.090628009	11.42743293	3.755919337	2.506715221	17.547975	24.39449212	12.68819678	8.156229427	71.2765	69.1316	64.9165
BGY	57.14780437	6.739769161	66.96628074	27.76806942	5.395795222	4.340931054	10.04770634	3.577738164	2.355249631	18.41106938	21.02956046	11.13013666	7.244404962	64.3169	62.1196	59.2265
BS16	69.91990278	7.724236308	72.38016554	28.93148453	10.56547603	5.449267932	10.59959698	3.701024216	2.248070049	20.02589112	23.61180383	11.68760771	8.502543495	71.5977	67.796	65.4743
BY4839	73.18596159	8.492120683	67.63732949	32.60817458	10.13597083	5.439146134	11.34447245	3.691358298	2.030361523	21.07289807	19.33241432	11.91488437	7.071593874	68.7068	68.6864	63.0198
BY4944	79.8780589	9.157182934	74.34781695	34.56584423	7.453515605	5.251482528	17.35069274	3.979254055	2.391579383	23.36261828	24.59463627	22.22875	8.45152879	70.7893	68.0392	65.9765
BY4960	61.10258182	9.141869	70.78784648	34.55465755	10.88955723	5.410832456	13.10450829	3.323871028	2.141262618	22.17164158	18.72655928	14.41844254	7.573394105	73.0967	69.7994	66.8131
