id,e2m,m2y,e2m2y,padj,coef,file,method,tissue,trait
GRMZM2G354222,3.11677754280811e-27,0.732872748771674,0.732872748771674,0.732872748771674,0.0662151048656132,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
GRMZM2G044481,1.9020872528153e-24,0.0642174074250947,0.0642174074250947,0.256869629700379,0.426670697352533,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
GRMZM2G139123,2.70859501637071e-34,1.99711102770728e-05,1.99711102770728e-05,0.000139797771939509,0.991317613182417,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
GRMZM2G024563,2.80565170249006e-20,0.000644394954895322,0.000644394954895322,0.00193318486468597,0.106438214997581,res.eq_mediator_P368.Earleafwidth_ts_P368.Kern.csv,res.eq,Kern,Earleafwidth
GRMZM2G481280,2.25282076095519e-29,0.103808110728106,0.103808110728106,0.207616221456211,0.0518415821964113,res.eq_mediator_P368.Earleafwidth_ts_P368.Kern.csv,res.eq,Kern,Earleafwidth
GRMZM5G846719,5.25037343475058e-39,0.187633088163483,0.187633088163483,0.207616221456211,0.041470062177258,res.eq_mediator_P368.Earleafwidth_ts_P368.Kern.csv,res.eq,Kern,Earleafwidth
AC205376.4_FG003,8.5574322264844e-29,0.000277359898456231,0.000277359898456231,0.000277359898456231,0.177603523219106,res.eq_mediator_P368.Earlength_ts_P368.Kern.csv,res.eq,Kern,Earlength
GRMZM2G024563,2.80565170249006e-20,0.217186051316835,0.217186051316835,1,0.137801270292741,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G026780,1.36560634370423e-27,0.209905101421184,0.209905101421184,1,0.152263397704318,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G449558,8.55874491637117e-30,0.00613437784173887,0.00613437784173887,0.165628201726949,0.266774133883432,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G099088,3.81820158312194e-26,0.74142817172615,0.74142817172615,1,0.0314522055519149,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G097827,1.32746129480848e-19,0.907641145590396,0.907641145590396,1,0.0141118622293317,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G030880,1.46733578479288e-27,0.0091828940122558,0.0091828940122558,0.238755244318651,0.282877231375747,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM5G823696,3.30697954077568e-30,0.0290139669470775,0.0290139669470775,0.667321239782782,0.21779391057794,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G081214,7.28883981356137e-31,0.737024884022607,0.737024884022607,1,-0.0333899454840232,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
