OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
KAKRNA5_GShoot_A619_ATACTG,GShoot,GShoot,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,58.43052,4.31589,2.65593,6.97182
KAKRNA6_10346261_GRoot_A619_ATACTG,GRoot,GRoot,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,19.4013,0,2.5306,1.68707
KAKRNA20_10346930_L3Base_A619_AAGCTC,L3Base,L3Base,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,23.61217,25.8729,1.00477,4.01909
KAKRNA18_Kern_A619_ACAACG,Kern,Kern,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0,0,2.24449,31.98397
10343262_LMAN8_A632_AGGCAT,LMAN8,LMAN,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,106.25526,0,33.39451
10344823_LMAD8_A632_GCATGG,LMAD8,LMAD,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,100.56099,0,35.91464
KAKRNA3_GShoot_A632_ACAACG,GShoot,GShoot,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,32.07232,4.34879,8.15398,10.87197
KAKRNA4_10346258_GRoot_A632_ACAACG,GRoot,GRoot,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,30.29444,0,4.36677,6.27723
KAKRNA23_10346932_L3Base_A632_ATATCC,L3Base,L3Base,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,9.69072,1.93814,3.87629
KAKRNA24_L3Tip_A632_ATATCC,L3Tip,L3Tip,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,118.12646,0,12.47298
KAKRNA16_Kern_A632_CTAGTC,Kern,Kern,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,5.29276,0,0.44106,8.82126
10343262_LMAN8_A634_TTGGTA,LMAN8,LMAN,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0,100.46415,0,18.35403
KAKRNA5_GShoot_A634_ACGTCT,GShoot,GShoot,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,7.72887,5.05349,10.10699,7.13434
