RawPhenotypeNames,TissueWODate,AC148152.3_FG001,AC148152.3_FG005,AC148152.3_FG008
B73,GShoot,0,0.95932,7.9943
B73,GShoot,0,3.35326,8.14363
B73,GShoot,0,18.68076,3.90993
B73,GShoot,0,0,3.80481
B75,LMAN,0.75568,0,48.3637
B75,GShoot,0,327.06116,2.0264
B75,GRoot,3.72548,1.24183,0
B75,L3Tip,6.23828,6.23828,88.89553
B75,L3Base,0,3.8083,4.89638
B75,Kern,0.34821,0.34821,0
B76,LMAD,0,0,64.71006
B76,LMAN,0,0,23.63786
B76,GShoot,0.43039,17.07201,0.71731
B76,GRoot,7.96746,48.94297,0
B76,L3Base,0.91879,0.61252,2.75636
B76,L3Tip,1.33296,0,97.30617
B77,LMAN,0,0.40101,50.52723
B77,LMAD,2.09877,4.19753,91.29637
B77,GShoot,1.00381,98.70753,6.35743
B77,GRoot,0,18.22175,0
B77,L3Tip,0,2.10642,71.61818
B77,L3Base,0,0,7.40999
B77,Kern,0.32759,0,0
B79,LMAN,0,0,102.7488
B79,GShoot,0,59.84316,13.07831
B79,GRoot,0,116.08625,0
B79,L3Base,0,0.61123,26.89427
B79,L3Tip,0,0,243.01754
B79,Kern,0,0,0
B84,LMAN,0,0,35.11682
B84,LMAD,0,0.65381,82.37973
B84,GShoot,0,27.16467,4.96559
B84,GRoot,0.82223,25.48915,0
B84,L3Tip,0,0,90.89724
B84,L3Base,0,2.8032,8.8768
B84,Kern,0,1.21386,0
C103,LMAN,0,0,51.5088
C103,GShoot,0.31781,354.35269,1.90683
C103,GRoot,2.08439,46.1543,0
C103,L3Tip,0,8.33058,70.80989
C103,L3Base,0,130.92971,12.51205
C103,Kern,0,0,0
C123,LMAD,1.78764,0,101.44845
C123,LMAN,0,0,47.92073
C123,GShoot,0,67.4685,2.19054
C123,GRoot,0.8735,10.91875,0.43675
C123,L3Tip,1.04463,0,68.94585
C123,L3Base,0,0.80915,5.39436
C123,Kern,0.29606,0,0
C49A,LMAD,0,0.27593,101.54087
C49A,LMAN,0,0,58.51551
C49A,GShoot,0,98.34081,1.43563
C49A,GRoot,0,0.31116,0
C49A,L3Base,0,0.28573,9.42911
C49A,L3Tip,0,0,142.51077
C49A,Kern,0,1.61892,0
CH701-30,LMAN,0,0,82.97395
CH701-30,LMAD,0,0,100.70094
CH701-30,GShoot,0,25.35001,7.15765
CH701-30,GRoot,0,14.9837,1.07026
CH701-30,L3Base,0,3.70229,13.69849
CH701-30,L3Tip,0,0.96753,120.94146
CH701-30,Kern,0,0,0
CH9,LMAN,0,0,40.18045
CH9,GShoot,0,285.67109,2.28537
CH9,GRoot,0,9.036,0
CH9,L3Base,0.54606,6.27971,18.83914
CH9,L3Tip,0,0,105.99715
