OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC192244.3_FG007,GRMZM2G000231,GRMZM2G003124,GRMZM2G020148,GRMZM2G037048,GRMZM2G054225,GRMZM2G055802,GRMZM2G056697,GRMZM2G104316,GRMZM2G106950,GRMZM2G140559,GRMZM2G353905,GRMZM2G398500,GRMZM2G402493,GRMZM2G468111,GRMZM2G472671
KAKRNA5_GShoot_A441-5_TCGTTC,GShoot,GShoot,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0.50464,3.02782,7.06492,9.08347,14.12984,21.44708,21.6994,1.00927,7.31724,187.97736,16.90535,1.00927,10.59738,68.12602,0,0
KAKRNA6_10346261_GRoot_A441-5_TCGTTC,GRoot,GRoot,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,7.48474,0,7.48474,0,20.95728,37.42371,35.92676,0,10.47864,1.49695,11.97559,1.49695,2.9939,53.89014,1.49695,0
KAKRNA28_L3Base_A441-5_TAATCG,L3Base,L3Base,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,11.53345,0.48056,13.93626,53.82278,8.65009,20.6641,12.49457,3.36392,13.93626,83.61753,22.58634,1.44168,2.4028,124.94574,0.48056,3.36392
KAKRNA28_L3Mid_A441-5_GGTGAG,L3Mid,L3Mid,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,6.74705,0,17.24247,94.45876,8.2464,11.24509,11.99476,1.49935,42.73134,30.73658,26.23854,5.24771,5.99738,31.48625,2.24902,45.73003
KAKRNA28_L3Tip_A441-5_TTAACT,L3Tip,L3Tip,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,4.07085,2.44251,20.35427,39.89437,10.58422,8.14171,26.86764,8.14171,42.33689,21.98261,26.86764,0.81417,8.95588,13.02673,0,38.26603
KAKRNA17_Kern_A441-5_CGCCTG,Kern,Kern,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,3.90242,9.75605,2.43901,8.78044,19.9999,0.4878,0.4878,12.19506,0.4878,7.80484,3.90242,3.41462,62.4387,0,0
10344823_LMAD8_A554_CCTGCT,LMAD8,LMAD,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,8.00365,0.94161,6.59124,6.59124,17.4197,8.00365,16.9489,3.76642,9.41606,0.4708,14.12408,0.4708,18.36131,18.83211,33.427,1.41241
10344826_LMAN8_A554_GTGTAG,LMAN8,LMAN,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,15.58311,0.77916,7.79155,0.77916,24.15381,20.25804,73.24059,8.57071,15.58311,0,8.57071,0.77916,21.03719,12.46648,4.67493,9.34986
KAKRNA5_GShoot_A554_ACCAGT,GShoot,GShoot,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,0,1.21423,10.01742,37.64121,11.53521,33.08783,42.80169,2.12491,8.80319,109.58448,17.30281,0.91067,8.80319,54.3369,0.60712,13.96367
KAKRNA6_10346261_GRoot_A554_ACCAGT,GRoot,GRoot,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,3.88044,0,3.88044,0,14.55167,28.13322,19.40222,0,8.731,0.97011,9.70111,6.79078,4.85056,37.83434,25.22289,0
KAKRNA20_10346930_L3Base_A554_CTCTCG,L3Base,L3Base,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,7.74664,0.51644,23.23992,114.13383,4.64798,6.71375,11.36174,2.06577,17.55905,70.23621,22.72348,0.51644,8.26308,46.47984,16.52617,45.9634
